gene,score
TENT5C,0.04515502858356879
TRAF1,0.04514804328151235
RRM2,0.045113540333950125
TRAV17,0.04504681679715996
DENND3,0.04504338227820591
DMTN,0.044751595355442444
CLEC7A,0.04411288324517741
KLK1,0.04377673602226439
NACC2,0.04367442581475267
HPGD,0.04363481549723399
MS4A7,0.043440720715965345
CRTAM,0.042909286336097675
CDC20,0.04273384591886307
SMARCD3,0.042685105430628624
MEGF9,0.04267147651571817
BORCS5,0.042520466855848725
ATXN1,0.04229469588726994
MYC,0.04206634795489372
COL19A1,0.04202563525272037
TRAV38-2DV8,0.042007782474978224
AC093010.2,0.0420070193843588
FXYD2,0.04186378588644473
GADD45A,0.04171345827076198
FPR1,0.041669789685321035
LILRA2,0.041603306304067535
PSTPIP2,0.041275559693021796
TSPAN33,0.04090393108060761
SECTM1,0.04085371097893018
CLEC12A,0.040607767823707466
CDKN1C,0.04058930601684191
LILRB3,0.04053399355859366
HIST1H3B,0.04052906673950561
SULT1A1,0.0402531504174507
C5AR1,0.04020533680686964
XCL2,0.04019129034609132
MICAL2,0.03987305685815684
IGSF6,0.03976455258358184
RGS1,0.03975325654608604
RAB32,0.03973721687661156
HK3,0.03948758649353031
SGK1,0.03944739234903207
KIR3DL1,0.03935625783130676
DIP2B,0.03924318531812831
FCGR2A,0.03894881339295696
PGRMC1,0.03886317418951232
VTI1A,0.038725954713382714
C1orf162,0.038703540156592796
PLAUR,0.03869592817676115
SLC40A1,0.038633965662747974
MSLN,0.038630278910195374
NUAK2,0.03835355708934676
LMO2,0.03830174001523327
CSF1R,0.03823105818009822
KLRF1,0.038047340397169394
ADARB1,0.037996172874523414
MVB12B,0.037792034517704826
AC020916.1,0.0376334214428188
CD300E,0.0375990123789476
APOC2,0.03756169536566663
KLF4,0.03737610655841433
PLK1,0.03729061390191475
HIST1H2AL,0.037246825157865766
SLC15A2,0.03706766414755807
MARCH2,0.0370261850146954
TSC22D1,0.03701005882461245
RHOXF1-AS1,0.03696026473994282
HIST1H2AH,0.03644446768536178
ZBTB20,0.03624908348255378
RHOB,0.03610276526598874
LEPROT,0.03588976065478513
MAML2,0.035882719440357994
IFRD1,0.03582646507385172
CDKL1,0.03572625709411615
GAS7,0.035720698979460515
HRH2,0.03560711809363479
CD302,0.03553293701130245
TRIM73,0.03537408066795019
FCRL3,0.035278582141702514
CPVL,0.03511698873521254
DTHD1,0.03507500739780773
PDZD4,0.03484513322859814
BCL2L1,0.03479299499042674
IGFBP4,0.034242778428436274
ADAM8,0.03417262460046436
HERC5,0.03416253985653075
TMEM231,0.03413801539447433
TRBV19,0.034111653873749356
RFLNB,0.03400877988936055
MPP1,0.03399293551096186
A2M-AS1,0.03397802111888245
DMXL2,0.03386050023696818
CTC1,0.033782439488282856
TNFRSF9,0.03372005243347513
TSPOAP1-AS1,0.03369954350986166
MLH3,0.033633424653162394
GNG11,0.03346558810652479
RXRA,0.033430043268780255
DUSP6,0.03324841024270183
CADM1,0.03298078678204092
NCAM1,0.032968430148454055
WDR37,0.03279273651953472
FBP1,0.032477922864979566
AL627171.1,0.03220147141714979
CXCR6,0.031966458442142916
ETS2,0.03181872816185907
RGS9,0.03181492123064632
AC008875.3,0.031772403417829796
CTLA4,0.03158911239360355
CAMK1,0.03144434728266816
SEPTIN5,0.03131229730323912
TAX1BP3,0.03110512937222996
CKB,0.030932328130649524
EGR1,0.03090281984186548
ITPRIP,0.030798816152385198
BMERB1,0.030485753235839987
TRBV5-1,0.030355757038036744
RASGRP2,0.030227907978133385
ZBP1,0.02977686225928588
HS3ST3B1,0.02972448307993509
OSM,0.02960337935156372
BX284613.2,0.029585461565855696
CCNA2,0.029384273448695163
TRAV29DV5,0.02933489379241478
CES1,0.029333088516293356
CCL4L2,0.029191022230520138
FOXP3,0.028912833003106236
F5,0.028758757984524944
RHOU,0.028487786627060932
MEPCE,0.028130376831498383
APOBEC3A,0.027898505855362476
GPR132,0.027635295485023227
C2orf88,0.027458042092938867
TRBV7-3,0.027454264037920013
TRAV9-2,0.027416866728723017
TRGV10,0.027412020849257954
MX2,0.027340422435009715
S100B,0.02727502021995172
ST3GAL4,0.027158698365941127
SCGB3A1,0.027141422800481478
TRAV13-1,0.027043144383126518
IGHA2,0.027013154755732238
CD36,0.026917884261086072
AIRE,0.026619531167123272
KDM7A,0.026575593419770834
IKZF2,0.026469200456455975
SESN3,0.02645278260146917
IL10,0.02635789927409617
LINC02362,0.026328287373629366
SESN2,0.026302212070501946
CDA,0.026267603673611827
