gene,alpha_UMI,se,t_stat,p_value,fdr,p_value_perm,fdr_perm
DES,-0.004032982499038357,0.0038850108041267495,-1.0380878464362029,0.2993403571869773,0.9610942545789382,0.12887112887112886,0.9311964631113565
SLC22A18,0.0039032631161362067,0.003763578862340926,1.0371147407569827,0.2997934841009134,0.9610942545789382,0.33266733266733267,0.956911334409484
HMGCL,0.0031954345898284765,0.003083522241671456,1.0362936730741144,0.300176170361619,0.9610942545789382,0.7702297702297702,0.9704440990954354
RP11-278C7.4,0.0038025463773823757,0.003677662285698136,1.0339574659067692,0.30126682051161746,0.9610942545789382,0.6503496503496503,0.9585349148667927
CACTIN-AS1,-0.0029294284984579355,0.002835065950579925,-1.0332840750521781,0.30158168036397837,0.9610942545789382,0.41058941058941056,0.956911334409484
RP11-52J3.3,-0.0053672598357336326,0.005206525063307451,-1.0308717946174724,0.30271139800234714,0.9610942545789382,0.7152847152847153,0.9653237851257654
CCDC166,0.0036925784521762966,0.003582031662809183,1.0308614774441685,0.30271623577477713,0.9610942545789382,0.935064935064935,0.994663107692935
RP11-303E16.7,0.004496257238367929,0.004368172899119604,1.029322177076166,0.3034385976672278,0.9610942545789382,0.05194805194805195,0.8747944968417409
CCDC115,-0.003524338111824336,0.0034255816965810407,-1.0288290935641184,0.30367023379841784,0.9610942545789382,0.6463536463536463,0.958233567311166
CTSG,0.003166750465311402,0.003088133799590044,1.025457661753765,0.30525718272226615,0.9610942545789382,0.3986013986013986,0.956911334409484
LST1,-0.004470633990898348,0.004367216175469541,-1.0236804891886682,0.3060959182636908,0.9610942545789382,0.5944055944055944,0.956911334409484
RP11-763B22.6,-0.004294554351027917,0.00420930307057231,-1.020253063042808,0.30771780303209656,0.9610942545789382,0.3996003996003996,0.956911334409484
