method,n_cells,theta_mean,n_confounders,target,auroc,auprc,type_i,ks_stat,time
PGAA_linear,1600,0.15,3,gene_0088,0.5993031358885018,0.08486204162767244,0.13240418118466898,0.24414605230929726,0.772728681564331
Partial_Pearson,1600,0.15,3,gene_0088,0.585075493612079,0.097305406076398,0.17421602787456447,0.24038321864206766,0.18385815620422363
PGAA_linear,1600,0.15,3,gene_0130,0.7160278745644599,0.3478571528413544,0.027874564459930314,0.11592031594075197,0.8016350269317627
Partial_Pearson,1600,0.15,3,gene_0130,0.6774099883855982,0.3376144606845939,0.03832752613240418,0.12878834069194306,0.20186281204223633
PGAA_linear,1600,0.15,3,gene_0150,0.9123112659698025,0.5979538387384028,0.0313588850174216,0.1365168928598013,0.9397008419036865
Partial_Pearson,1600,0.15,3,gene_0150,0.9184088269454123,0.6234915733510572,0.03484320557491289,0.14578176593740266,0.1808309555053711
PGAA_linear,1600,0.15,5,gene_0071,0.75,0.40438767130248326,0.017421602787456445,0.11778684413315416,0.728125810623169
Partial_Pearson,1600,0.15,5,gene_0071,0.6869918699186992,0.441163376725174,0.13588850174216027,0.2652443338207551,0.3234212398529053
PGAA_linear,1600,0.15,5,gene_0035,0.743321718931475,0.3350924363236684,0.0627177700348432,0.15598092529410917,0.8156399726867676
Partial_Pearson,1600,0.15,5,gene_0035,0.7163182346109175,0.32591659914134763,0.0975609756097561,0.20224509253159836,0.3229069709777832
PGAA_linear,1600,0.15,5,gene_0187,0.8188153310104529,0.5061707816295242,0.059233449477351915,0.16152330280580823,0.6392819881439209
Partial_Pearson,1600,0.15,5,gene_0187,0.820267131242741,0.4880127276605627,0.03832752613240418,0.17370126354887322,0.3362388610839844
PGAA_linear,1600,0.15,5,gene_0126,0.8821138211382114,0.6008281922755607,0.041811846689895474,0.14085221285637417,1.035262107849121
Partial_Pearson,1600,0.15,5,gene_0126,0.8748548199767711,0.6187219888470497,0.04529616724738676,0.19104480946834762,0.4961550235748291
PGAA_linear,1600,0.15,10,gene_0243,0.9198606271777003,0.4823048426319564,0.0627177700348432,0.1663376961647846,1.2003397941589355
Partial_Pearson,1600,0.15,10,gene_0243,0.8768873403019743,0.3805129646339979,0.09407665505226481,0.14422152914201214,0.3626120090484619
PGAA_linear,1600,0.15,10,gene_0075,0.9021486643437863,0.6729149074737311,0.0313588850174216,0.15007293801348587,0.9165821075439453
Partial_Pearson,1600,0.15,10,gene_0075,0.8153310104529616,0.4922061484814578,0.289198606271777,0.3898102385135173,0.29830098152160645
PGAA_linear,1600,0.15,10,gene_0175,0.5171312427409989,0.09058281729700306,0.10104529616724739,0.23584620325919642,0.9446909427642822
Partial_Pearson,1600,0.15,10,gene_0175,0.6065621370499419,0.06256256199448622,0.11846689895470383,0.1726697238615872,0.40721988677978516
PGAA_linear,1600,0.15,10,gene_0012,0.712253193960511,0.28952112520378004,0.059233449477351915,0.1658197628096934,0.917839765548706
Partial_Pearson,1600,0.15,10,gene_0012,0.6547619047619048,0.2500451811168081,0.041811846689895474,0.14425910889927768,0.40932703018188477
PGAA_linear,1600,0.3,3,gene_0230,0.9242160278745646,0.5109164145591816,0.017421602787456445,0.04701120669178499,0.710869312286377
Partial_Pearson,1600,0.3,3,gene_0230,0.8635307781649245,0.48739777184945643,0.0313588850174216,0.08287167468327766,0.21883392333984375
PGAA_linear,1600,0.3,3,gene_0270,0.8556910569105691,0.6936908965570611,0.03832752613240418,0.1778042067780683,0.8976199626922607
Partial_Pearson,1600,0.3,3,gene_0270,0.8725319396051102,0.7384179780013115,0.024390243902439025,0.15110181094358344,0.2627420425415039
PGAA_linear,1600,0.3,3,gene_0279,0.6858304297328688,0.06726370841030956,0.17770034843205576,0.2401831221027667,0.6837570667266846
Partial_Pearson,1600,0.3,3,gene_0279,0.6887340301974447,0.07281139843580355,0.1986062717770035,0.23023611170885805,0.19408106803894043
PGAA_linear,1600,0.3,3,gene_0170,0.8167828106852497,0.4605740718726989,0.04529616724738676,0.1423414972274048,0.7088110446929932
Partial_Pearson,1600,0.3,3,gene_0170,0.8002322880371661,0.4582958754030842,0.04529616724738676,0.1589196682628205,0.11933422088623047
PGAA_linear,1600,0.3,5,gene_0247,0.9608013937282229,0.7278385301489017,0.04529616724738676,0.09211164189709198,0.8063628673553467
Partial_Pearson,1600,0.3,5,gene_0247,0.9239256678281068,0.7167381401846598,0.06968641114982578,0.12998826269947927,0.3438880443572998
PGAA_linear,1600,0.3,5,gene_0194,0.9796747967479674,0.7209645029766982,0.07665505226480836,0.21549519070761292,0.7438089847564697
Partial_Pearson,1600,0.3,5,gene_0194,0.9564459930313589,0.768767534375154,0.10452961672473868,0.26280107784653917,0.2964048385620117
PGAA_linear,1600,0.3,5,gene_0053,0.9427990708478513,0.6943690278043586,0.1289198606271777,0.21610237472757465,0.7922871112823486
Partial_Pearson,1600,0.3,5,gene_0053,0.917247386759582,0.6991354398023373,0.17073170731707318,0.2408651879111936,0.34087395668029785
PGAA_linear,1600,0.3,5,gene_0135,0.7828106852497096,0.5013371110877662,0.07317073170731707,0.11016559772725054,0.6258969306945801
Partial_Pearson,1600,0.3,5,gene_0135,0.7290940766550523,0.49190244480154377,0.0627177700348432,0.1322954790958872,0.2541830539703369
PGAA_linear,1600,0.3,10,gene_0205,0.9277003484320557,0.5833846769702032,0.024390243902439025,0.08706546156808703,1.025965929031372
Partial_Pearson,1600,0.3,10,gene_0205,0.924506387921022,0.5727603470038249,0.020905923344947737,0.10485079345027792,0.36614108085632324
PGAA_linear,1600,0.3,10,gene_0022,0.8440766550522648,0.6150907506286201,0.03484320557491289,0.2029349454917525,0.7573630809783936
Partial_Pearson,1600,0.3,10,gene_0022,0.8225900116144019,0.6027789846020375,0.06620209059233449,0.19862414984982926,0.34720778465270996
PGAA_linear,1600,0.3,10,gene_0180,0.7125435540069686,0.2865899675677567,0.08013937282229965,0.17201197780682942,0.7206389904022217
Partial_Pearson,1600,0.3,10,gene_0180,0.7282229965156796,0.4197940647038555,0.0627177700348432,0.12749364514837946,0.37235403060913086
PGAA_linear,1600,0.3,10,gene_0119,0.945993031358885,0.6814004444022533,0.03484320557491289,0.12450340971208962,0.738332986831665
Partial_Pearson,1600,0.3,10,gene_0119,0.9457026713124274,0.6177317165855792,0.041811846689895474,0.1691427967067039,0.31644487380981445
