gene,S2_obs,null_mean,null_std,z_score,p_perm,p_zscore,p_pooled
RP11-360D2.1,0.6844838241864014,0.686799356849848,0.012318364288671856,-0.18797403690811848,0.5369261477045908,0.8508970039106716,0.2897982107355865
CENPL,0.7728811913292222,0.6365069471568403,0.03014234245942789,4.524341276924294,0.001996007984031936,6.058389873997427e-06,0.040013916500994035
RASAL2,0.5765872250223261,0.45778722197411525,0.029883980580085928,3.9753741215911753,0.001996007984031936,7.026870382409456e-05,0.82979324055666
ABL2,0.702151060242858,0.710030253751341,0.017437490200070307,-0.45185364511062287,0.6866267465069861,0.6513744205502023,0.16689165009940357
AXDND1,0.5307796784111879,0.5044078748309284,0.024767331330117475,1.0647817977946568,0.11976047904191617,0.2869746840107945,0.9477614314115308
RP11-12M5.3,0.604873301932995,0.5807013139557476,0.02014064049424859,1.2001598451721935,0.13972055888223553,0.23007726699036368,0.7375775347912524
STX6,0.6809399286230821,0.6963110462048193,0.011195655809448632,-1.372953745930931,0.9141716566866267,0.16976672651269542,0.3214075546719682
ZNF648,1.0152150677688423,0.7769897637238423,0.03971804451768306,5.9979111997553805,0.001996007984031936,1.998717635842695e-09,0.0
RP11-538D16.3,0.8224073850918072,0.7921287100607388,0.01958339332114402,1.546140371820814,0.08582834331337326,0.12207067046904974,0.009525844930417495
LINC01036,0.7958767731925818,0.5826097668054716,0.041100929461722724,5.188860913369865,0.001996007984031936,2.1158435270507425e-07,0.021191848906560635
RP11-309H21.2,0.7021889249598066,0.5650585395206068,0.030837201406252485,4.4469140903101225,0.001996007984031936,8.71126557666635e-06,0.1641371769383698
RP5-1011O1.2,0.8153714402773469,0.7816800343376542,0.021251420717279344,1.5853719329125555,0.0499001996007984,0.11288185426359054,0.01139065606361829
RP11-101E13.5,0.6632288102415319,0.6597237834754416,0.024892877870581694,0.1408044013357094,0.4750499001996008,0.8880244659465644,0.4678956262425447
RP11-563D10.1,0.6650044507705486,0.6565134695193481,0.0177102631700335,0.4794384572199427,0.36327345309381237,0.6316267402780922,0.4528916500994036
ATP6V1G3,0.6915601020467943,0.6802212910188942,0.012749389537038535,0.8893610941103188,0.16766467065868262,0.3738090471934732,0.2326441351888668
RP11-553K8.2,0.560659381883351,0.5553285176390271,0.010756769343730033,0.4955822769808315,0.35728542914171657,0.6201891595468332,0.873854870775348
IGFN1,0.6809307414440554,0.6785068151914284,0.011368961969640325,0.21320559072144274,0.4291417165668663,0.8311666077561082,0.322779324055666
ATP2B4,0.6596987525947946,0.5767289273413556,0.025563442358280557,3.2456436848599934,0.001996007984031936,0.0011718541117344827,0.4887335984095427
ZC3H11A,0.7499124880583549,0.6228067877759658,0.03159288853429659,4.023237702510226,0.001996007984031936,5.7403508150422056e-05,0.06328926441351888
ETNK2,0.5324947460085515,0.528478896221048,0.011293720149143328,0.3555825480417743,0.25149700598802394,0.7221532151931507,0.9432286282306163
LRRN2,0.6826969946121177,0.6601093691136661,0.016959887288346395,1.3318263921465363,0.07984031936127745,0.18291724326474723,0.30832504970178926
RP11-23I7.1,0.6119449870842539,0.5741114120544215,0.023043309709013686,1.6418463973962774,0.06387225548902195,0.10062184084093029,0.7113767395626243
RP11-534L20.5,0.7887965051919379,0.6182047183762319,0.031322453695943525,5.446309809304414,0.001996007984031936,5.142553449744014e-08,0.02639662027833002
LAMB3,0.7729297551578774,0.7497096677332304,0.01906822424404714,1.2177372747173765,0.09580838323353294,0.22332382738951706,0.0389493041749503
SYT14,0.6048939864890682,0.5400665510496296,0.02527835729740813,2.564543046714629,0.005988023952095809,0.01033117633501357,0.7352534791252485
TRAF5,0.7799615605406992,0.6741025092493987,0.027689804621378794,3.8230335222215617,0.001996007984031936,0.0001318198501394363,0.03315705765407555
BATF3,0.7286836678526921,0.6282339058198257,0.027499685124771734,3.6527604435142247,0.001996007984031936,0.00025943624302682267,0.08981113320079523
TGFB2,0.7393351384375026,0.6029232759439419,0.0312600481315769,4.363776470189175,0.001996007984031936,1.278362019263568e-05,0.07509542743538768
LYPLAL1-AS1,0.6084027101445587,0.5839611562798781,0.02396762439121877,1.0197737358415238,0.17964071856287425,0.3078357820515327,0.7263131212723658
RP11-95P13.1,0.7039040602827131,0.6974916675633114,0.010835523845890963,0.5917935127643007,0.37924151696606784,0.5539888678056399,0.16234294234592445
RP11-400N13.2,0.6667730171636111,0.6233351315978019,0.019570957750434846,2.219507400696419,0.029940119760479042,0.026452224296058313,0.44108151093439363
RP11-400N13.3,0.7941101625779409,0.8029685729060799,0.018487070779603657,-0.47916787000739175,0.7065868263473054,0.6318192097093374,0.022267395626242546
TAF1A,0.6986005231258632,0.6945901812602759,0.011740308452085289,0.3415874363057805,0.47105788423153694,0.7326613934606057,0.19109741550695825
MIA3,0.7109784285107736,0.6991663709148426,0.011525534185454496,1.0248598811877325,0.2315369261477046,0.3054293068334204,0.13187673956262425
RP4-559A3.7,0.7021354682953074,0.6151128596936464,0.027083575157316127,3.2131137819207094,0.001996007984031936,0.001313042608877879,0.17165805168986084
ACBD3,0.7375073131434166,0.7009848778161512,0.017385257148629474,2.1007704985337226,0.031936127744510975,0.03566111734481825,0.07902882703777336
ADCK3,0.5411966404022347,0.5436693834347999,0.012370297058058765,-0.19989358549430122,0.6626746506986028,0.8415638072372533,0.9246451292246521
MRPL55,0.781826160763134,0.6615021027227969,0.0259323641119466,4.639918578996864,0.001996007984031936,3.485464764141355e-06,0.030910536779324056
RP11-543E8.1,0.5624279356075608,0.5462677735095667,0.010966251317889635,1.47362682374696,0.0998003992015968,0.14058209506339803,0.8693180914512922
GNPAT,0.7481878530434812,0.6962567975917959,0.023920022956750307,2.1710286627056945,0.00998003992015968,0.029929005789024465,0.06488170974155069
RP4-799P18.2,0.8949138727467215,0.7096430253234258,0.03351857217023756,5.527408699938578,0.001996007984031936,3.249952573725068e-08,0.0005079522862823061
TARBP1,0.7834987104451633,0.6854882235864647,0.023802707679965767,4.117619229563023,0.001996007984031936,3.8280649302224745e-05,0.03036083499005964
IRF2BP2,0.7198213894069376,0.6192669560768725,0.02834915956836586,3.546998742152053,0.001996007984031936,0.0003896464516472964,0.10665705765407554
RBM34,0.7728973796111551,0.6533875605692456,0.02997960192980274,3.9863711106550994,0.001996007984031936,6.70915465432742e-05,0.039391650099403576
RP5-940F7.2,0.6403031631032033,0.6169009700410908,0.02068635245905038,1.1312865865762067,0.10379241516966067,0.25793448811940056,0.5863499005964214
LGALS8-AS1,0.5252794372867431,0.5275907958536208,0.014980961516567654,-0.15428639639193914,0.6506986027944112,0.8773839229926372,0.962013916500994
HEATR1,0.6897575926086918,0.6730804639641952,0.014953401979814136,1.1152732112069417,0.18962075848303392,0.26473336145132875,0.25575745526838967
RP11-544D21.2,0.7923415869743964,0.7040885169968727,0.02796989227761185,3.1552881613406,0.003992015968063872,0.0016033965644339787,0.023627236580516898
GREM2,0.7535055989573297,0.6323966294660474,0.028976736390109187,4.179524148641428,0.001996007984031936,2.92119700169291e-05,0.05884493041749503
WDR64,0.753457858874349,0.6640249808545732,0.023121530727078683,3.8679479778141608,0.001996007984031936,0.0001097550716633311,0.059219681908548705
DESI2,0.8082819903573383,0.6928088234939983,0.028556378877597044,4.043690811019689,0.001996007984031936,5.261629723585237e-05,0.014190854870775349
RP11-173A6.3,0.8277509061450359,0.7910693527337437,0.0263658047524813,1.3912548376828395,0.0718562874251497,0.1641481635573636,0.00798807157057654
RP11-439E19.9,0.6279368300120695,0.5782672980624617,0.024489953787070043,2.028159480473571,0.017964071856287425,0.042543973879480834,0.6421113320079523
OR14A16,0.6951308507536632,0.6795464628525604,0.015016579575443974,1.037812094478981,0.13972055888223553,0.29935754499486,0.20605765407554671
OR2AK2,0.737524277864352,0.6554383443272593,0.023194329684131106,3.539051770625215,0.001996007984031936,0.00040156709055017004,0.07782504970178926
OR2M2,0.7021376957375841,0.6022349869441158,0.029715974585581107,3.36191931063032,0.001996007984031936,0.0007740273827914201,0.17089463220675943
OR2M4,0.5429853817363921,0.5428527934753848,0.010158117314855636,0.013052444355347718,0.5349301397205589,0.9895859518694501,0.918058648111332
OR2T10,0.622619199465615,0.6084162112755641,0.018749623505662404,0.7575079139994871,0.1936127744510978,0.44874562636898796,0.6652246520874752
OR2T27,0.5323772506692477,0.5221497785594168,0.012350285384396443,0.8281162573580376,0.19560878243512975,0.4076046633647299,0.944751491053678
AC079779.7,0.7341128802096333,0.6389211583189117,0.027407034939582922,3.473258676123201,0.001996007984031936,0.0005141795282976869,0.08150994035785289
FAM150B,0.7181137805234329,0.5791823582602839,0.029150383517011335,4.766023822021684,0.001996007984031936,1.878970535384994e-06,0.10727634194831014
AC092159.3,0.7870338735907637,0.5734616613453618,0.03584717099896608,5.957854031258307,0.001996007984031936,2.555716305252531e-09,0.027496023856858846
AC116609.1,0.7729176144867781,0.7251260224839439,0.025991062828614027,1.8387702079738644,0.02594810379241517,0.06594899192855053,0.039052683896620276
RPS7,0.6844883939466531,0.6840243704939791,0.01921402136874983,0.024150251723390363,0.46706586826347307,0.9807327599156379,0.28907157057654076
SOX11,0.6048862298634307,0.6065669076020694,0.022550133280378068,-0.07453072306677419,0.5189620758483033,0.9405880956694463,0.7355178926441351
LINC01247,0.781730135441729,0.5969240458661447,0.03257579481835858,5.673110682519046,0.001996007984031936,1.4022756289477911e-08,0.03172962226640159
AC011747.3,0.7675876517192582,0.6245792980509275,0.028913427409869245,4.946087907223053,0.001996007984031936,7.571977520548501e-07,0.04477335984095428
RN7SL832P,0.7570010871954316,0.7826970116450698,0.021509243626560835,-1.1946456554105054,0.8622754491017964,0.2322255034414651,0.05538071570576541
AC092687.3,0.7428130907481759,0.6690961592507749,0.021834993809178842,3.3760912479127434,0.001996007984031936,0.0007352353061649275,0.07270477137176938
ATP6V1C2,0.7781929857427714,0.6160194786555212,0.03219001465622226,5.038006624700228,0.001996007984031936,4.7040516593099824e-07,0.035000994035785285
AC092687.4,0.7941337957539226,0.6387530972365096,0.032490493602925795,4.7823434268605896,0.001996007984031936,1.732633339024403e-06,0.02189065606361829
GACAT3,0.5783557479530759,0.5513336602334109,0.015192419095850956,1.7786560224002057,0.041916167664670656,0.07529617332685401,0.8243320079522862
RP11-130L8.1,0.6561806891415213,0.62983995808029,0.018746970209168868,1.4050660329287226,0.07784431137724551,0.1600016434761038,0.5064751491053678
AC009411.2,0.6773821101035989,0.5511576454880636,0.0280598420426006,4.4984025364040265,0.001996007984031936,6.84659710659119e-06,0.3573051689860835
TP53I3,0.8277074483556391,0.7405128198679929,0.03150909829818581,2.7672841559120043,0.007984031936127744,0.00565254622878375,0.008342942345924453
CENPO,0.5854405300403809,0.5677045588651839,0.01826040214022772,0.971280426301435,0.16367265469061876,0.33140865320310864,0.8025457256461233
RAB10,0.6986408188655914,0.6715561593536972,0.015861439713129227,1.707578883238027,0.03592814371257485,0.08771450938654124,0.18429920477137177
SLC30A3,0.6154922876023651,0.5679930009089554,0.02472378190532901,1.9211982566133878,0.02594810379241517,0.05470671788380943,0.6962574552683897
C2orf16,0.7888282281977744,0.7631894803344799,0.020273656046775026,1.2646336607536415,0.10179640718562874,0.20600268077654826,0.02559244532803181
